time,Tfluid_core,Tfuel_avg,Tfuel_max,Tmod_avg,Tmod_max,Tsolid_core,UnscaledTotalPower,decay_power,dt,dt_max_pp,init_prompt_power,max_T_solid,power_peak,power_scaling,prompt_power,total_power
0,0,0,0,0,0,0,1.1984882199606e-10,16065000,0,0,233935000,0,0,1.9519173914591e+18,233935000,250000000
0.05,652.7962325227,897.92708027502,1124.6657733985,884.93980356415,1121.4584435419,669.78153906433,1.1984882199606e-10,16065020.15305,0.05,0.5,233935000,1113.5773407557,1.9905743024724,1.9519173914591e+18,233989816.06344,250054836.21649
0.125,652.76059090541,897.93081426373,1124.6729560086,884.93995596836,1121.4631811335,669.7807065727,1.1984882199606e-10,16065169.95448,0.075,0.5,233935000,1113.5757694352,1.9910179727749,1.9519173914591e+18,234053063.05081,250118233.00529
0.2375,652.732865789,897.93200667687,1124.6745017392,884.93757215661,1121.463528884,669.77927272835,1.1984882199606e-10,16065491.784286,0.1125,0.5,233935000,1113.5729429511,1.9914907828814,1.9519173914591e+18,234116973.68987,250182465.47416
0.40625,652.73294216509,897.93177180552,1124.6735165529,884.93386719785,1121.4618685751,669.77755785237,1.1984882199606e-10,16066076.681119,0.16875,0.5,233935000,1113.569105203,1.9919712469203,1.9519173914591e+18,234179185.42357,250245262.10469
0.659375,652.771432282,897.93410222978,1124.672597662,884.93332023155,1121.4603006663,669.77675813586,1.1984882199606e-10,16066996.315928,0.253125,0.5,233935000,1113.5656696924,1.9923676733353,1.9519173914591e+18,234230327.95148,250297324.2674
1.0390625,652.85640280097,897.94882891925,1124.6762365772,884.94746892589,1121.4626869152,669.78004679969,1.1984882199606e-10,16068106.664203,0.3796875,0.5,233935000,1113.5666831253,1.9924051335031,1.9519173914591e+18,234238201.52065,250306308.18485
1.5390625,652.98828231572,897.98972405861,1124.6902160068,884.99307970767,1121.4766807739,669.79227077673,1.1984882199606e-10,16068752.097602,0.5,0.5,233935000,1113.5789743773,1.9915688867842,1.9519173914591e+18,234141060.165,250209812.26261
2.0390625,653.1353407879,898.05096204559,1124.7139781137,885.06513306507,1121.5027878684,669.81232110597,1.1984882199606e-10,16067413.927132,0.5,0.5,233935000,1113.6021977877,1.9897916356005,1.9519173914591e+18,233930454.89888,249997868.82601
2.5390625,653.29665476226,898.13150054066,1124.7467063936,885.16288804838,1121.5393567158,669.8401048594,1.1984882199606e-10,16063775.300384,0.5,0.5,233935000,1113.6362399573,1.9870375552016,1.9519173914591e+18,233602121.99546,249665897.29585
3.0390625,653.47201695809,898.23079045064,1124.7880811326,885.28580594633,1121.5860904242,669.87552669604,1.1984882199606e-10,16057760.561703,0.5,0.5,233935000,1113.6809723328,1.9832727327454,1.9519173914591e+18,233151885.07624,249209645.63794
3.5390625,653.66136367079,898.34791561356,1124.8376574699,885.43323164398,1121.6426001261,669.91848364459,1.1984882199606e-10,16049138.56354,0.5,0.5,233935000,1113.7362454319,1.9784703675823,1.9519173914591e+18,232576481.89962,248625620.46316
4.0390625,653.86468375294,898.48197675613,1124.8949276103,885.60449241945,1121.7084416116,669.9688708402,1.1984882199606e-10,16037691.968654,0.5,0.5,233935000,1113.8018913641,1.9726066589278,1.9519173914591e+18,231873008.26905,247910700.2377
4.5390625,654.08200670097,898.6323385983,1124.9595412742,885.79904445433,1121.7832875881,670.02658337657,1.1984882199606e-10,16023230.337866,0.5,0.5,233935000,1113.8777284637,1.9656662692962,1.9519173914591e+18,231039622.04517,247062852.38304
5.0390625,654.31340349624,898.79841708438,1125.0311459089,886.01636865108,1121.8668054301,670.09151569602,1.1984882199606e-10,16005588.213714,0.5,0.5,233935000,1113.9635597903,1.9576413875784,1.9519173914591e+18,230075365.22567,246080953.43939
5.5390625,654.55899195759,898.97964168848,1125.109393201,886.25595186955,1121.9586624123,670.16356206981,1.1984882199606e-10,15984621.195012,0.5,0.5,233935000,1114.0591742186,1.9485250197732,1.9519173914591e+18,228979434.42878,244964055.62379
6.0390625,654.81894333159,899.17551510962,1125.1939550528,886.51731784578,1122.0585381572,670.24261718567,1.1984882199606e-10,15960204.981785,0.5,0.5,233935000,1114.1643471302,1.9383157002771,1.9519173914591e+18,227751663.99383,243711868.97561
6.5390625,655.09348943522,899.38559650982,1125.2845210374,886.80001954205,1122.1661229186,670.3285764972,1.1984882199606e-10,15932235.092547,0.5,0.5,233935000,1114.2788409092,1.9270160543159,1.9519173914591e+18,226392413.07175,242324648.1643
7.0390625,655.38292076116,899.60936738372,1125.380708541,887.10352765695,1122.281047033,670.42133240326,1.1984882199606e-10,15896485.26197,0.5,0.5,233935000,1114.4023993527,1.9145991717156,1.9519173914591e+18,224902547.20731,240799032.46928
7.5390625,655.6875774626,899.84675580744,1125.4824124362,887.42765678872,1122.4031539052,670.52078376764,1.1984882199606e-10,15858028.271466,0.5,0.5,233935000,1114.5347643768,1.9011187238632,1.9519173914591e+18,223283501.81523,239141530.0867
8.0390625,656.00780772977,900.09735014985,1125.5892847961,887.77193631769,1122.5320952565,670.62682583457,1.1984882199606e-10,15816082.878629,0.5,0.5,233935000,1114.6756553776,1.8865824733058,1.9519173914591e+18,221536966.08565,237353048.96428
8.5390625,656.34416563059,900.36090727744,1125.7010725266,888.13602147429,1122.6675945147,670.7393578976,1.1984882199606e-10,15770407.131659,0.5,0.5,233935000,1114.8247842531,1.8710063177589,1.9519173914591e+18,219665121.2641,235435528.39576
