time,P_in,P_out,T_in,T_out,_PipeHeatRemovalRate,htc_avg,mfr,rho_in,rho_out,v_in,v_out
-250000,7000000,7000000,873.15,873.15,0,1263.6477930006,0.0064875673999454,3.8241795215652,3.8241795215652,15,15
-240000,7001123.758837,6999999.9944159,873.15,1134.8173465597,8820.4247549387,1298.0855639418,0.0064885993990753,3.8247878466422,2.9496527021887,15,19.450399330703
-230000,7001123.752275,6999999.9944158,873.15,1134.8185324417,8820.359462956,1298.0844639322,0.0064885993930491,3.82478784309,2.9496496444888,15,19.450365955065
-220000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-210000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-200000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-190000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-180000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-170000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-160000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-150000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-140000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-130000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-120000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-110000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-100000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-90000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-80000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-70000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-60000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-50000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-40000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-30000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-20000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
-10000,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
0,7001123.7544623,6999999.9944158,873.15,1134.8181371535,8820.3812266713,1298.0848305978,0.0064885993950578,3.8247878442741,2.9496506637065,15,19.450377080135
