time,P_in,P_out,T_in,T_out,_PipeHeatRemovalRate,htc_avg,mfr,rho_in,rho_out,v_in,v_out
-250000,7000000,7000000,873.15,873.15,0,1263.647725962,0.0032437834131593,3.8241795215652,3.8241795215652,15,15
-240000,7001125.3596321,6999999.9945696,873.15,1135.2538382485,4417.5698961856,1311.1328067463,0.0032443001477191,3.8247887132004,2.9485276717897,15,19.457825376455
-230000,7001125.3528572,6999999.9945696,873.15,1135.2549733437,4417.5360674028,1311.1300863126,0.0032443001446082,3.8247887095329,2.9485247472696,15,19.457790804682
-220000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-210000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-200000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-190000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-180000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-170000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-160000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-150000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-140000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-130000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-120000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-110000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-100000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-90000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-80000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-70000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-60000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-50000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-40000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-30000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-20000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
-10000,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
0,7001125.3551155,6999999.9945696,873.15,1135.2545949837,4417.5473435656,1311.1309931143,0.0032443001456452,3.8247887107554,2.948525722096,15,19.457802328506
