time,ext_side_integral,flux_uo_avg,fuel_temp_avg,fuel_temp_max,fuel_temp_min,heatpipe_surface_temp_avg,hp_end_heat_integral,hp_heat_integral,mirror_side_integral,mod_temp_avg,mod_temp_max,mod_temp_min,monolith_temp_avg,monolith_temp_max,monolith_temp_min,power,tb_integral,total_sink
0,103.19444927009,13771.098749011,844.83919538207,870.14760117895,815.27447420626,835.59875624704,-510.8635371645,336415.15547574,9742.2862647033,843.19716555738,864.92982297437,815.89343050008,840.86628795546,868.02406477569,812.07411094596,345600,-696.8461936053,345052.92645894
5,113.4788360654,13272.794459771,848.30266971632,873.80150995235,819.26180335955,839.35241677005,-547.0945892597,325696.25501432,7316.0157995484,846.77328567401,868.71871358855,820.26978111084,844.36732714278,871.71963158309,816.25800623736,335958.51030569,-207.28352317274,332371.3715375
6,115.58616523418,13153.737941491,849.0035645733,874.50226219563,820.08092039103,840.12278671031,-554.57937101097,323080.05974989,6758.4334463551,847.49769068399,869.45403397215,821.20084428077,845.08264067235,872.43154953275,817.1647146626,333549.75411164,-108.6053511264,329290.89463934
7,117.85328081854,13022.293273018,849.75832331926,875.27497340492,820.9261005884,840.94736830866,-562.91631517042,320183.44027623,6207.1258947932,848.27851328636,870.26530563759,822.1522647785,845.8536597448,873.21679707109,818.09157648845,330867.76345975,-8.1997225713608,325937.3034141
8,120.23973062932,12880.296906433,850.55340551381,876.10576455322,821.77418716455,841.81040787881,-572.07910574737,317040.18535293,5687.2211593419,849.10164489933,871.13833208176,823.10324013968,846.66703366356,874.06139996698,819.02080706177,327937.57965841,89.232452271341,322364.79958942
9,122.69238297481,12729.77176388,851.37027050741,876.97129127506,822.61053319612,842.69329549211,-581.8702073008,313693.17645312,5205.6687727749,849.94799841186,872.04925926465,824.04028003587,847.50418308142,874.94187661667,819.94005088859,324797.78045854,182.07362410831,318621.74102568
10,125.16599733771,12572.617345542,852.19298951148,877.84901997872,823.42917995165,843.58107119303,-592.04436440941,310185.20294786,4757.9390054412,850.80113111112,872.97499021095,824.95840983326,848.34904947321,875.83553463217,820.84449659616,321490.027517,270.63617531337,314746.89976155
11,127.62823774848,12410.450734861,853.01021886488,878.72176782297,824.22887753937,844.46342202909,-602.38319461332,306553.64945343,4336.1148831124,851.64928480285,873.89782270716,825.85713711876,849.19011573818,876.72503824757,821.73337996577,318051.83091442,355.83152401339,310770.84090369
12,130.05810531834,12244.600575925,853.81470108466,879.57814524684,825.01005703674,845.33380190635,-612.72338927163,302829.45220244,3933.1458969587,852.48489329715,874.8059227231,826.73742814143,850.01993517744,877.59886022167,822.6072975248,314514.54066048,438.49809081694,306718.43090626
13,132.44277635291,12076.129500913,854.60212308506,880.41132751878,825.77345423051,846.18827246731,-622.95523612804,299037.48829151,3543.989070278,853.30342333965,875.69209882312,827.60037324356,850.83400900842,878.4500573584,823.46699895576,310903.42516855,519.22758189194,302610.1924839
14,134.7750459165,11905.910882812,855.37018355419,881.2177270287,826.51969152936,847.024645802,-633.01179979573,295198.27248541,3165.4584106421,854.10241449015,876.55245314291,828.44680742196,851.62985596603,879.27493593114,824.31303210835,307239.34377422,598.3854347838,298463.87957695
15,137.05111249703,11734.629021007,856.11778374152,881.99572151505,827.24923152647,847.84179541527,-642.8545627498,291328.03288875,2795.623907868,854.88065494146,877.38511284589,829.2773060337,852.40621942011,880.07178552618,825.14573199418,303538.80367284,676.18277224043,294294.03611861
16,139.26939033648,11562.845535315,856.84459259884,882.74493502736,827.96242528833,848.63927332334,-652.46378088588,287440.15724734,2433.4283251587,855.63773278587,878.18949215383,830.09226357262,853.16262388289,880.84015470922,825.96528617724,299815.43945262,752.73134666892,290113.12252862
17,141.42960218452,11391.022454786,857.55073313119,883.46570471285,828.65956100391,849.41704547321,-661.83117755732,283545.72473832,2078.2901037933,856.37371084256,878.96575111275,830.89197040104,853.89906413967,881.58031485813,826.68517917437,296080.54987551,828.08442185964,285931.6976886
18,143.53224462656,11219.544552057,858.23657443908,884.15875772682,829.34089579194,850.17530928289,-670.95508578729,279654.00681263,1729.9032389438,857.08891341659,879.71446674414,831.67665802326,854.61579514,882.29293634028,827.35081060646,292343.6034491,902.2624924423,281758.74970285
19,145.57824067154,11048.734142123,858.90261545905,884.82501121721,830.00667147212,850.91439201351,-679.83760735928,275772.80303391,1388.1347804135,857.78380713363,880.43642840842,832.44652954678,855.31321350731,882.97888728449,828.0016337177,288612.57883141,975.26845550217,277601.94690314
20,147.56874943706,10878.863658049,859.54941621895,885.46546419465,830.65712410878,851.63469215962,-688.48297531901,271908.7301682,1052.9151087963,858.45892565823,881.13252472892,833.20177260357,855.99179031119,883.63912301286,828.63784545396,284894.25730887,1047.097049376,273467.82810049
21,149.50503246038,10710.162653657,860.17756540604,886.08112989143,831.29248656643,852.33664830808,-696.89661309472,268067.39451391,724.20421119614,859.11483887357,881.80367500418,833.94256775694,856.65203446509,884.27462039321,829.25964380833,281194.39842256,1117.7395574086,269361.94670188
22,151.38838895644,10542.826727073,860.7876339911,886.67299691546,831.91299087756,853.020695691,-705.08429192878,264253.58587364,402.00748564953,859.75210311957,882.45078694846,834.66909335937,857.29444677683,884.88633674362,829.86722913065,277517.93293347,1187.1864555888,265289.08391191
23,153.22011445545,10377.021380365,861.38018694651,887.24201240372,832.51886896781,853.68727585123,-713.05203995562,260471.37795375,86.306207163871,860.37127428176,883.07473567059,835.38152735279,857.9195283511,885.47518760331,830.46080427492,273869.06785945,1255.4295196631,261253.28175507
24,155.00148010165,10212.887200841,861.95576332835,887.78911853177,833.11035280679,854.33681782722,-720.80581739923,256724.24704226,-222.91671601904,860.97288553688,883.67635468801,836.05419287862,858.52776170448,886.0420424341,831.0405743578,270251.40398552,1322.4621497435,257257.98813868
25,156.73371880741,10050.542374474,862.51488004224,888.31521246846,833.68767447425,854.96974045153,-728.35147364714,253015.13151386,-525.70645679217,861.55745104611,884.25645432348,836.69064307171,859.11961292179,886.58774330831,831.60674644043,266667.99781234,1388.2799105928,253306.08721282
26,158.41802476814,9890.0868401483,863.05802034321,888.82095583094,834.25106623026,855.58644097117,-735.69458731717,249346.52959992,-822.10131276475,862.1254523956,884.81572967422,837.31176514539,859.69552084232,887.11300792282,832.15952932961,263121.45758437,1452.8803978693,249400.03212248
