time,A_avg_T_aux,A_int_T_ext,A_int_total_flux,DT_inner,DT_outer,Integral_BC_Cond,Integral_BC_RelErr,Integral_BC_Total,T_cond_inner,T_cond_outer,T_evap_inner,T_evap_outer,T_inner_avg,T_inner_max,T_inner_min,T_wall_var_avg,ZeroPP,condenser_boundary_integral,evaporator_boundary_integral,hp_boiling_limit,hp_capillary_limit,hp_entrainment_limit,hp_sonic_limit,hp_viscous_limit
-50000,800,1440,27283.704530039,-1.1368683772162e-12,-1.1368683772162e-12,0,0,0,800,800,800,800,800,800,800,799.99999999998,0,0,0,33420287.679108,15793.543360822,4260.5665504575,3510.4034606705,18381.695631363
-47500,814.5690834135,28747.385926963,27283.704530039,10.303505641579,14.546700149889,1794.8735579881,0.002856157743843,5.1264420118669,802.85282598276,800.03022888878,813.15633162434,814.57692903867,809.3956949149,815.83431930058,801.85678942004,799.99999999998,0,-1794.8735579881,1800,29400384.360777,16829.583427589,4530.675210362,4026.6290179108,24044.302095894
-45000,814.62623494418,28747.48302437,27283.704530039,10.345461521073,14.603755111879,1802.5312353626,0.0014042671288567,-2.531235362557,802.86481310723,800.0303578578,813.21027462831,814.63411296968,809.43432758015,815.89984123063,801.86466395493,799.99999999998,0,-1802.5312353626,1800,29385084.201701,16833.913190661,4531.8047202571,4028.8732964594,24070.536083158
-42500,814.60749710397,28747.451189789,27283.704530039,10.331705786972,14.585048932206,1800.0205824081,1.1434540394564e-05,-0.020582408060591,802.86088296279,800.0303155739,813.19258874977,814.61536450611,809.42166136643,815.87835953938,801.86208219445,799.99999999998,0,-1800.0205824081,1800,29390099.509509,16832.493559779,4531.4343789937,4028.1373680867,24061.932076427
-40000,814.60731935475,28747.450887596,27283.704530039,10.331575232745,14.584871484526,1799.9967163213,1.8242692631601e-06,0.0032836786833741,802.86084563216,800.03031517195,813.19242086491,814.61518665648,809.42154112631,815.87815537205,801.86205765954,799.99999999998,0,-1799.9967163213,1800,29390147.124613,16832.480083543,4531.4308634307,4028.1303824609,24061.850412122
-37500,814.60731935475,28747.450887596,27283.704530039,10.331575232745,14.584871484526,1799.9967163213,1.8242692631601e-06,0.0032836786833741,802.86084563216,800.03031517195,813.19242086491,814.61518665648,809.42154112631,815.87815537205,801.86205765954,799.99999999998,0,-1799.9967163213,1800,29390147.124613,16832.480083543,4531.4308634307,4028.1303824609,24061.850412122
-35000,814.60731935475,28747.450887596,27283.704530039,10.331575232745,14.584871484526,1799.9967163213,1.8242692631601e-06,0.0032836786833741,802.86084563216,800.03031517195,813.19242086491,814.61518665648,809.42154112631,815.87815537205,801.86205765954,799.99999999998,0,-1799.9967163213,1800,29390147.124613,16832.480083543,4531.4308634307,4028.1303824609,24061.850412122
-32500,814.60731935475,28747.450887596,27283.704530039,10.331575232745,14.584871484526,1799.9967163213,1.8242692631601e-06,0.0032836786833741,802.86084563216,800.03031517195,813.19242086491,814.61518665648,809.42154112631,815.87815537205,801.86205765954,799.99999999998,0,-1799.9967163213,1800,29390147.124613,16832.480083543,4531.4308634307,4028.1303824609,24061.850412122
-30000,814.60731935475,28747.450887596,27283.704530039,10.331575232745,14.584871484526,1799.9967163213,1.8242692631601e-06,0.0032836786833741,802.86084563216,800.03031517195,813.19242086491,814.61518665648,809.42154112631,815.87815537205,801.86205765954,799.99999999998,0,-1799.9967163213,1800,29390147.124613,16832.480083543,4531.4308634307,4028.1303824609,24061.850412122
-27500,814.60731935475,28747.450887596,27283.704530039,10.331575232745,14.584871484526,1799.9967163213,1.8242692631601e-06,0.0032836786833741,802.86084563216,800.03031517195,813.19242086491,814.61518665648,809.42154112631,815.87815537205,801.86205765954,799.99999999998,0,-1799.9967163213,1800,29390147.124613,16832.480083543,4531.4308634307,4028.1303824609,24061.850412122
