time,axial_pow_4
0,0
10000000,3298390.3572391
20000000,3298390.3572391
30000000,3298390.3572391
40000000,3298390.3572391
50000000,3298390.3572391
60000000,3298390.3572391
70000000,3298390.3572391
80000000,3298390.3572391
90000000,3298390.3572391
100000000,3298390.3572391
110000000,3298390.3572391
120000000,3298390.3572391
130000000,3298390.3572391
140000000,3298390.3572391
150000000,3298390.3572391
160000000,3298390.3572391
170000000,3298390.3572391
180000000,3298390.3572391
190000000,3298390.3572391
200000000,3298390.3572391
210000000,3298390.3572391
220000000,3298390.3572391
230000000,3298390.3572391
240000000,3298390.3572391
250000000,3298390.3572391
260000000,3298390.3572391
270000000,3298390.3572391
280000000,3298390.3572391
290000000,3298390.3572391
300000000,3298390.3572391
310000000,3298390.3572391
315576000,3298390.3572391
