id,vel_x,vel_y,x,y,z
0,-6.8146587263577e-07,0.0021704784695399,0,1.005,0
0.01,-6.8146587263577e-07,0.0021704784695399,0.01,1.005,0
0.02,-8.4496354553346e-05,0.0064013539154914,0.02,1.005,0
0.03,-0.00024921781233903,0.010520901002581,0.03,1.005,0
0.04,-0.00049180277054165,0.014528067519741,0.04,1.005,0
0.05,-0.00080934672266895,0.01842198951323,0.05,1.005,0
0.06,-0.0011990414108496,0.02220198364819,0.06,1.005,0
0.07,-0.0016580734542598,0.025867541209848,0.07,1.005,0
0.08,-0.0021836324649881,0.029418321994674,0.08,1.005,0
0.09,-0.0027729232630168,0.032854147899459,0.09,1.005,0
0.1,-0.0034231701067975,0.036174996350105,0.1,1.005,0
0.11,-0.0041316204856247,0.039380993602187,0.11,1.005,0
0.12,-0.0048955493141535,0.042472407923685,0.12,1.005,0
0.13,-0.0057122629674439,0.045449642679973,0.13,1.005,0
0.14,-0.0065791030792283,0.04831322934388,0.14,1.005,0
0.15,-0.0074934501286027,0.051063820453901,0.15,1.005,0
0.16,-0.0084527268077996,0.053702182543909,0.16,1.005,0
0.17,-0.009454401158743,0.056229189067918,0.17,1.005,0
0.18,-0.01049598947064,0.058645813343266,0.18,1.005,0
0.19,-0.011575058933436,0.060953121535208,0.19,1.005,0
0.2,-0.012689230043745,0.063152265705241,0.2,1.005,0
0.21,-0.013836178761639,0.06524447694462,0.21,1.005,0
0.22,-0.015013638418502,0.067231058613592,0.22,1.005,0
0.23,-0.016219401377716,0.069113379705605,0.23,1.005,0
0.24,-0.017451320451474,0.070892868354578,0.24,1.005,0
0.25,-0.018707310078355,0.072571005501891,0.25,1.005,0
0.26,-0.019985347267537,0.074149318738338,0.26,1.005,0
0.27,-0.021283472316577,0.075629376334788,0.27,1.005,0
0.28,-0.022599789310653,0.077012781473816,0.28,1.005,0
0.29,-0.023932466411985,0.078301166693017,0.29,1.005,0
0.3,-0.025279735948789,0.079496188549207,0.3,1.005,0
0.31,-0.026639894313731,0.080599522511245,0.31,1.005,0
0.32,-0.028011301682231,0.081612858087731,0.32,1.005,0
0.33,-0.029392381561314,0.082537894194443,0.33,1.005,0
0.34,-0.030781620179918,0.083376334765007,0.34,1.005,0
0.35,-0.032177565731667,0.084129884607034,0.35,1.005,0
0.36,-0.033578827481164,0.084800245504701,0.36,1.005,0
0.37,-0.034984074744792,0.08538911256766,0.37,1.005,0
0.38,-0.036392035756852,0.085898170825058,0.38,1.005,0
0.39,-0.037801496431727,0.086329092062488,0.39,1.005,0
0.4,-0.039211299032441,0.086683531898796,0.4,1.005,0
0.41,-0.0406203407557,0.086963127098871,0.41,1.005,0
0.42,-0.042027572243177,0.08716949311777,0.42,1.005,0
0.43,-0.043431996028349,0.087304221870946,0.43,1.005,0
0.44,-0.044832664927862,0.087368879724749,0.44,1.005,0
0.45,-0.046228680385866,0.087365005700872,0.45,1.005,0
0.46,-0.047619190779398,0.087294109888024,0.46,1.005,0
0.47,-0.049003389692358,0.087157672053785,0.47,1.005,0
0.48,-0.050380514165157,0.086957140449275,0.48,1.005,0
0.49,-0.051749842926684,0.08669393079911,0.49,1.005,0
0.5,-0.053110694614692,0.086369425468957,0.5,1.005,0
0.51,-0.054462425990295,0.085984972802896,0.51,1.005,0
0.52,-0.055804430151768,0.085541886622767,0.52,1.005,0
0.53,-0.05713613475242,0.085041445881703,0.53,1.005,0
0.54,-0.058457000226847,0.084484894464065,0.54,1.005,0
0.55,-0.059766518029471,0.083873441124131,0.55,1.005,0
0.56,-0.061064208888865,0.083208259555977,0.56,1.005,0
0.57,-0.062349621080979,0.082490488587178,0.57,1.005,0
0.58,-0.063622328724005,0.081721232489127,0.58,1.005,0
0.59,-0.064881930097311,0.080901561396981,0.59,1.005,0
0.6,-0.066128045986518,0.080032511832485,0.6,1.005,0
0.61,-0.067360318056509,0.079115087323156,0.61,1.005,0
0.62,-0.068578407253886,0.078150259111601,0.62,1.005,0
0.63,-0.069781992240128,0.077138966948981,0.63,1.005,0
0.64,-0.070970767856476,0.076082119966956,0.64,1.005,0
0.65,-0.072144443621346,0.074980597622712,0.65,1.005,0
0.66,-0.073302742260902,0.073835250711984,0.66,1.005,0
0.67,-0.074445398273245,0.072646902445262,0.67,1.005,0
0.68,-0.07557215652649,0.071416349582696,0.68,1.005,0
0.69,-0.076682770890934,0.070144363623502,0.69,1.005,0
0.7,-0.077777002905374,0.068831692045959,0.7,1.005,0
0.71,-0.078854620477503,0.067479059594364,0.71,1.005,0
0.72,-0.079915396618344,0.066087169609646,0.72,1.005,0
0.73,-0.080959108210498,0.064656705400548,0.73,1.005,0
0.74,-0.081985534810045,0.063188331652613,0.74,1.005,0
0.75,-0.082994457481844,0.061682695872431,0.75,1.005,0
0.76,-0.083985657668003,0.060140429864866,0.76,1.005,0
0.77,-0.084958916089285,0.05856215124122,0.77,1.005,0
0.78,-0.085914011679247,0.056948464956522,0.78,1.005,0
0.79,-0.086850720550895,0.055299964874317,0.79,1.005,0
0.8,-0.087768814995757,0.053617235357562,0.8,1.005,0
0.81,-0.088668062515276,0.051900852884394,0.81,1.005,0
0.82,-0.089548224884495,0.050151387687724,0.82,1.005,0
0.83,-0.090409057248142,0.048369405417746,0.83,1.005,0
0.84,-0.091250307249233,0.04655546882661,0.84,1.005,0
0.85,-0.092071714190486,0.044710139474616,0.85,1.005,0
0.86,-0.092873008228893,0.042833979457393,0.86,1.005,0
0.87,-0.09365390960396,0.040927553153609,0.87,1.005,0
0.88,-0.094414127900233,0.038991428992846,0.88,1.005,0
0.89,-0.095153361344864,0.037026181243311,0.89,1.005,0
0.9,-0.095871296141118,0.035032391819069,0.9,1.005,0
0.91,-0.096567605838893,0.033010652106534,0.91,1.005,0
0.92,-0.097241950743434,0.030961564809901,0.92,1.005,0
0.93,-0.097893977363643,0.028885745815199,0.93,1.005,0
0.94,-0.098523317901472,0.026783826072572,0.94,1.005,0
0.95,-0.099129589784115,0.024656453496291,0.95,1.005,0
0.96,-0.099712395240835,0.022504294881906,0.96,1.005,0
0.97,-0.10027132092641,0.020328037839736,0.97,1.005,0
0.98,-0.10080593759309,0.01812839274361,0.98,1.005,0
0.99,-0.10131579981358,0.015906094693328,0.99,1.005,0
1,-0.10180044576167,0.013661905489428,1,1.005,0
1.01,-0.10225939705369,0.011396615619727,1.01,1.005,0
1.02,-0.10269215860416,0.0091110462462517,1.02,1.005,0
1.03,-0.10309821850831,0.0068060511541735,1.03,1.005,0
1.04,-0.103477048698,0.0044825187500698,1.04,1.005,0
1.05,-0.10382810650149,0.0021413744956524,1.05,1.005,0
1.06,-0.10415082703152,-0.00021641816995441,1.06,1.005,0
1.07,-0.10444463265347,-0.0025898317100261,1.07,1.005,0
1.08,-0.10470893246371,-0.0049778375799463,1.08,1.005,0
1.09,-0.10494312116132,-0.0073793639819921,1.09,1.005,0
1.1,-0.10514657821454,-0.0097932912550325,1.1,1.005,0
1.11,-0.10531866690112,-0.012218448725215,1.11,1.005,0
1.12,-0.10545873535231,-0.014653612255606,1.12,1.005,0
1.13,-0.10556611753414,-0.017097502149516,1.13,1.005,0
1.14,-0.10564013413628,-0.019548781153483,1.14,1.005,0
1.15,-0.10568009356464,-0.022006052494146,1.15,1.005,0
1.16,-0.1056852930604,-0.024467857947804,1.16,1.005,0
1.17,-0.10565501994271,-0.026932675950497,1.17,1.005,0
1.18,-0.10558855298151,-0.029398919757438,1.18,1.005,0
1.19,-0.10548516390762,-0.031864935661661,1.19,1.005,0
1.2,-0.10534411906624,-0.034329001282784,1.2,1.005,0
1.21,-0.10516468121993,-0.036789323937497,1.21,1.005,0
1.22,-0.10494611150701,-0.039244039104267,1.22,1.005,0
1.23,-0.10468767156092,-0.041691208995595,1.23,1.005,0
1.24,-0.10438862579613,-0.044128821252017,1.24,1.005,0
1.25,-0.10404824386555,-0.046554787773016,1.25,1.005,0
1.26,-0.10366580329407,-0.048966943700833,1.26,1.005,0
1.27,-0.10324059229241,-0.051363046574139,1.27,1.005,0
1.28,-0.10277191275462,-0.053740775669327,1.28,1.005,0
1.29,-0.10225908344214,-0.056097731548085,1.29,1.005,0
1.3,-0.10170144335628,-0.05843143583065,1.3,1.005,0
1.31,-0.10109835530028,-0.060739331214907,1.31,1.005,0
1.32,-0.10044920963087,-0.063018781762162,1.32,1.005,0
1.33,-0.099753428198422,-0.06526707347096,1.33,1.005,0
1.34,-0.099010468473102,-0.067481415160831,1.34,1.005,0
1.35,-0.098219827853634,-0.06965893968816,1.35,1.005,0
1.36,-0.097381048153261,-0.071796705516608,1.36,1.005,0
1.37,-0.096493720256307,-0.073891698664574,1.37,1.005,0
1.38,-0.095557488936799,-0.075940835052035,1.38,1.005,0
1.39,-0.094572057828926,-0.077940963268819,1.39,1.005,0
1.4,-0.093537194537116,-0.079888867785798,1.4,1.005,0
1.41,-0.092452735871527,-0.081781272629742,1.41,1.005,0
1.42,-0.091318593192661,-0.083614845541541,1.42,1.005,0
1.43,-0.090134757846592,-0.085386202636176,1.43,1.005,0
1.44,-0.088901306670072,-0.087091913581264,1.44,1.005,0
1.45,-0.087618407542522,-0.088728507309042,1.45,1.005,0
1.46,-0.086286324959543,-0.090292478274485,1.46,1.005,0
1.47,-0.084905425600337,-0.0917802932696,1.47,1.005,0
1.48,-0.083476183859055,-0.093188398801081,1.48,1.005,0
1.49,-0.081999187307937,-0.09451322903521,1.49,1.005,0
1.5,-0.080475142057838,-0.095751214310226,1.5,1.005,0
1.51,-0.078904877979793,-0.096898790212433,1.51,1.005,0
1.52,-0.077289353749252,-0.097952407207944,1.52,1.005,0
1.53,-0.075629661672985,-0.098908540817276,1.53,1.005,0
1.54,-0.073927032257128,-0.09976370231503,1.54,1.005,0
1.55,-0.072182838473559,-0.10051444993156,1.55,1.005,0
1.56,-0.070398599680938,-0.101157400528,1.56,1.005,0
1.57,-0.06857598515609,-0.10168924171023,1.57,1.005,0
1.58,-0.066716817191245,-0.10210674434141,1.58,1.005,0
1.59,-0.064823073712843,-0.10240677540648,1.59,1.005,0
1.6,-0.062896890378309,-0.10258631117628,1.6,1.005,0
1.61,-0.060940562108377,-0.10264245061219,1.61,1.005,0
1.62,-0.058956544014228,-0.10257242894675,1.62,1.005,0
1.63,-0.056947451680987,-0.10237363136941,1.63,1.005,0
1.64,-0.054916060771921,-0.10204360674118,1.64,1.005,0
1.65,-0.052865305921089,-0.10158008125644,1.65,1.005,0
1.66,-0.050798278886205,-0.10098097196568,1.66,1.005,0
1.67,-0.048718225938045,-0.10024440006827,1.67,1.005,0
1.68,-0.046628544467831,-0.099368703880997,1.68,1.005,0
1.69,-0.044532778799813,-0.098352451385268,1.69,1.005,0
1.7,-0.042434615202378,-0.097194452253493,1.7,1.005,0
1.71,-0.040337876097726,-0.09589376925452,1.71,1.005,0
1.72,-0.038246513477274,-0.094449728937592,1.72,1.005,0
1.73,-0.036164601537269,-0.092861931495465,1.73,1.005,0
1.74,-0.034096328556897,-0.091130259709465,1.74,1.005,0
1.75,-0.032045988048957,-0.089254886882634,1.75,1.005,0
1.76,-0.030017969221109,-0.087236283671787,1.76,1.005,0
1.77,-0.028016746793673,-0.085075223735124,1.77,1.005,0
1.78,-0.026046870227655,-0.082772788119186,1.78,1.005,0
1.79,-0.024112952424231,-0.0803303683173,1.79,1.005,0
1.8,-0.022219657964039,-0.077749667941148,1.8,1.005,0
1.81,-0.020371690961264,-0.075032702957743,1.81,1.005,0
1.82,-0.01857378261356,-0.072181800455696,1.82,1.005,0
1.83,-0.016830678534081,-0.06919959591721,1.83,1.005,0
1.84,-0.015147125956453,-0.066089028985523,1.84,1.005,0
1.85,-0.013527860906994,-0.062853337731426,1.85,1.005,0
1.86,-0.011977595441036,-0.059496051436851,1.86,1.005,0
1.87,-0.010501005041693,-0.056020981928134,1.87,1.005,0
1.88,-0.0091027162796409,-0.052432213506298,1.88,1.005,0
1.89,-0.0077872948314892,-0.048734091536231,1.89,1.005,0
1.9,-0.0065592339527484,-0.044931209770962,1.9,1.005,0
1.91,-0.0054229435009439,-0.041028396501005,1.91,1.005,0
1.92,-0.0043827395921546,-0.037030699632075,1.92,1.005,0
1.93,-0.0034428349312981,-0.032943370806009,1.93,1.005,0
1.94,-0.0026073299590278,-0.028771848687587,1.94,1.005,0
1.95,-0.0018802054711305,-0.024521741559386,1.95,1.005,0
1.96,-0.0012653158323121,-0.020198809420796,1.96,1.005,0
1.97,-0.00076637465854083,-0.015808945662838,1.97,1.005,0
1.98,-0.00038694613829945,-0.01135815776529,1.98,1.005,0
1.99,-0.00013055579115331,-0.0068525483110145,1.99,1.005,0
2,-7.3726402922316e-07,-0.0022983063778551,2,1.005,0
