id,vel_x,vel_y,x,y,z
0,-0.00088842531801016,1.9937065536706e-08,1.005,0,0
0.01,-0.00088842531801016,1.9937065536706e-08,1.005,0.01,0
0.02,-0.0026234209696043,1.1184271053112e-07,1.005,0.02,0
0.03,-0.0043184828876735,2.1798883264651e-07,1.005,0.03,0
0.04,-0.0059754569088018,2.6616284183116e-07,1.005,0.04,0
0.05,-0.0075961174433157,1.9686998867781e-07,1.005,0.05,0
0.06,-0.0091821727255822,-3.8466564185138e-08,1.005,0.06,0
0.07,-0.010735267034702,-4.8085237455957e-07,1.005,0.07,0
0.08,-0.01225698286531,-1.1638538839166e-06,1.005,0.08,0
0.09,-0.013748843128076,-2.1136037336151e-06,1.005,0.09,0
0.1,-0.015212313211813,-3.3490205067775e-06,1.005,0.1,0
0.11,-0.016648802973847,-4.88202222883e-06,1.005,0.11,0
0.12,-0.018059668636517,-6.7177098506138e-06,1.005,0.12,0
0.13,-0.01944621459743,-8.8545371748746e-06,1.005,0.13,0
0.14,-0.020809695155622,-1.1284469490472e-05,1.005,0.14,0
0.15,-0.022151316155927,-1.3993130465083e-05,1.005,0.15,0
0.16,-0.023472236553717,-1.6959937745287e-05,1.005,0.16,0
0.17,-0.024773569901998,-2.015822797309e-05,1.005,0.17,0
0.18,-0.026056385762684,-2.355537188158e-05,1.005,0.18,0
0.19,-0.027321711043821,-2.7112880078988e-05,1.005,0.19,0
0.2,-0.028570531264456,-3.0786500184008e-05,1.005,0.2,0
0.21,-0.029803791748823,-3.4526305950859e-05,1.005,0.21,0
0.22,-0.031022398751474,-3.8276779033218e-05,1.005,0.22,0
0.23,-0.032227220514941,-4.1976884072215e-05,1.005,0.23,0
0.24,-0.033419088261541,-4.5560137737219e-05,1.005,0.24,0
0.25,-0.034598797120865,-4.8954672393097e-05,1.005,0.25,0
0.26,-0.03576710699453,-5.2083295096082e-05,1.005,0.26,0
0.27,-0.03692474335972,-5.4863542531018e-05,1.005,0.27,0
0.28,-0.038072398013073,-5.7207732613121e-05,1.005,0.28,0
0.29,-0.039210729756417,-5.9023013422908e-05,1.005,0.29,0
0.3,-0.040340365025929,-6.0211410123172e-05,1.005,0.3,0
0.31,-0.04146189846621,-6.0669870604813e-05,1.005,0.31,0
0.32,-0.042575893450831,-6.0290310471552e-05,1.005,0.32,0
0.33,-0.043682882550907,-5.895965812063e-05,1.005,0.33,0
0.34,-0.044783367953254,-5.6559900579027e-05,1.005,0.34,0
0.35,-0.045877821829837,-5.2968130795649e-05,1.005,0.35,0
0.36,-0.046966686660342,-4.805659708692e-05,1.005,0.36,0
0.37,-0.048050375510578,-4.1692755410707e-05,1.005,0.37,0
0.38,-0.049129272271189,-3.3739325139913e-05,1.005,0.38,0
0.39,-0.050203731866419,-2.4054349560655e-05,1.005,0.39,0
0.4,-0.051274080479152,-1.2491261948633e-05,1.005,0.4,0
0.41,-0.05234061603426,1.1010522889829e-06,1.005,0.41,0
0.42,-0.053403605975203,1.6878153176802e-05,1.005,0.42,0
0.43,-0.054463289502898,3.4999981307468e-05,1.005,0.43,0
0.44,-0.055519878260181,5.5630776253677e-05,1.005,0.44,0
0.45,-0.056573554872011,7.8938956312268e-05,1.005,0.45,0
0.46,-0.057624473118885,0.00010509701396923,1.005,0.46,0
0.47,-0.058672757885065,0.00013428139532787,1.005,0.47,0
0.48,-0.05971850504114,0.0001666723686204,1.005,0.48,0
0.49,-0.060761781291016,0.00020245388143873,1.005,0.49,0
0.5,-0.061802623990222,0.00024181340566277,1.005,0.5,0
0.51,-0.062841040939161,0.0002849417693289,1.005,0.51,0
0.52,-0.063877010153772,0.00033203297473242,1.005,0.52,0
0.53,-0.064910479615637,0.00038328400205117,1.005,0.53,0
0.54,-0.06594136700351,0.00043889459765764,1.005,0.54,0
0.55,-0.066969559408342,0.0004990670463862,1.005,0.55,0
0.56,-0.0679949130341,0.00056400592678113,1.005,0.56,0
0.57,-0.069017252887134,0.00063391784836223,1.005,0.57,0
0.58,-0.070036372457987,0.00070901117033992,1.005,0.58,0
0.59,-0.071052033401873,0.00078949570017038,1.005,0.59,0
0.6,-0.072063965225067,0.00087558236071047,1.005,0.6,0
0.61,-0.073071864978959,0.00096748284718698,1.005,0.61,0
0.62,-0.074075396949772,0.0010654095764341,1.005,0.62,0
0.63,-0.075074191987499,0.0011695760898185,1.005,0.63,0
0.64,-0.07606784372862,0.0012801943073808,1.005,0.64,0
