FRD,id,x,y,z
7.6903614350194e+17,0,0,0.995,0
1.0487528788982e+18,0.01,0.01,0.995,0
1.3276417294821e+18,0.02,0.02,0.995,0
1.6057028411868e+18,0.03,0.03,0.995,0
1.8829276254129e+18,0.04,0.04,0.995,0
2.1593001484068e+18,0.05,0.05,0.995,0
2.4347983129089e+18,0.06,0.06,0.995,0
2.7093948584565e+18,0.07,0.07,0.995,0
2.9830582047353e+18,0.08,0.08,0.995,0
3.25575316001e+18,0.09,0.09,0.995,0
3.5274415144816e+18,0.1,0.1,0.995,0
3.7980825360214e+18,0.11,0.11,0.995,0
4.0676333836738e+18,0.12,0.12,0.995,0
4.3360494522946e+18,0.13,0.13,0.995,0
4.6032846597514e+18,0.14,0.14,0.995,0
4.8692916866157e+18,0.15,0.15,0.995,0
5.1340221766102e+18,0.16,0.16,0.995,0
5.3974269049622e+18,0.17,0.17,0.995,0
5.6594559204873e+18,0.18,0.18,0.995,0
5.920058666328e+18,0.19,0.19,0.995,0
6.1791840834647e+18,0.2,0.2,0.995,0
6.4367807002934e+18,0.21,0.21,0.995,0
6.6927967109584e+18,0.22,0.22,0.995,0
6.9471800447879e+18,0.23,0.23,0.995,0
7.1998784283698e+18,0.24,0.24,0.995,0
7.4508394419421e+18,0.25,0.25,0.995,0
7.7000105710374e+18,0.26,0.26,0.995,0
7.9473392543143e+18,0.27,0.27,0.995,0
8.1927729283263e+18,0.28,0.28,0.995,0
8.4362590696622e+18,0.29,0.29,0.995,0
8.6777452348734e+18,0.3,0.3,0.995,0
8.9171790985761e+18,0.31,0.31,0.995,0
9.1545084898678e+18,0.32,0.32,0.995,0
9.3896814273138e+18,0.33,0.33,0.995,0
9.6226461524646e+18,0.34,0.34,0.995,0
9.8533511622727e+18,0.35,0.35,0.995,0
1.0081745240195e+19,0.36,0.36,0.995,0
1.0307777486167e+19,0.37,0.37,0.995,0
1.0531397345528e+19,0.38,0.38,0.995,0
1.075255463682e+19,0.39,0.39,0.995,0
1.0971199578576e+19,0.4,0.4,0.995,0
1.1187282815088e+19,0.41,0.41,0.995,0
1.1400755441126e+19,0.42,0.42,0.995,0
1.1611569025754e+19,0.43,0.43,0.995,0
1.1819675635119e+19,0.44,0.44,0.995,0
1.2025027854485e+19,0.45,0.45,0.995,0
1.2227578809097e+19,0.46,0.46,0.995,0
1.2427282184458e+19,0.47,0.47,0.995,0
1.262409224561e+19,0.48,0.48,0.995,0
1.2817963855653e+19,0.49,0.49,0.995,0
1.300885249351e+19,0.5,0.5,0.995,0
1.3196714270923e+19,0.51,0.51,0.995,0
1.3381505948734e+19,0.52,0.52,0.995,0
1.3563184952543e+19,0.53,0.53,0.995,0
1.3741709387606e+19,0.54,0.54,0.995,0
1.3917038053325e+19,0.55,0.55,0.995,0
1.4089130456863e+19,0.56,0.56,0.995,0
1.4257946826431e+19,0.57,0.57,0.995,0
1.4423448123957e+19,0.58,0.58,0.995,0
1.458559605725e+19,0.59,0.59,0.995,0
1.4744353091694e+19,0.6,0.6,0.995,0
1.4899682461486e+19,0.61,0.61,0.995,0
1.505154818041e+19,0.62,0.62,0.995,0
1.5199915052221e+19,0.63,0.63,0.995,0
1.5344748680637e+19,0.64,0.64,0.995,0
1.5486015478918e+19,0.65,0.65,0.995,0
1.56236826791e+19,0.66,0.66,0.995,0
1.5757718340908e+19,0.67,0.67,0.995,0
1.5888091360306e+19,0.68,0.68,0.995,0
1.6014771477658e+19,0.69,0.69,0.995,0
1.6137729285696e+19,0.7,0.7,0.995,0
1.6256936237152e+19,0.71,0.71,0.995,0
1.6372364651997e+19,0.72,0.72,0.995,0
1.6483987724641e+19,0.73,0.73,0.995,0
1.6591779530462e+19,0.74,0.74,0.995,0
1.6695715032446e+19,0.75,0.75,0.995,0
1.6795770087409e+19,0.76,0.76,0.995,0
1.6891921451921e+19,0.77,0.77,0.995,0
1.6984146787974e+19,0.78,0.78,0.995,0
1.7072424668523e+19,0.79,0.79,0.995,0
1.7156734582668e+19,0.8,0.8,0.995,0
1.7237056940568e+19,0.81,0.81,0.995,0
1.7313373078257e+19,0.82,0.82,0.995,0
1.7385665262097e+19,0.83,0.83,0.995,0
1.7453916693006e+19,0.84,0.84,0.995,0
1.7518111510462e+19,0.85,0.85,0.995,0
1.7578234796306e+19,0.86,0.86,0.995,0
1.7634272578351e+19,0.87,0.87,0.995,0
1.7686211833543e+19,0.88,0.88,0.995,0
1.7734040491184e+19,0.89,0.89,0.995,0
1.7777747435753e+19,0.9,0.9,0.995,0
1.7817322509514e+19,0.91,0.91,0.995,0
1.7852756514919e+19,0.92,0.92,0.995,0
1.7884041216726e+19,0.93,0.93,0.995,0
1.7911169344027e+19,0.94,0.94,0.995,0
1.7934134591911e+19,0.95,0.95,0.995,0
1.7952931622962e+19,0.96,0.96,0.995,0
1.7967556068506e+19,0.97,0.97,0.995,0
1.7978004529549e+19,0.98,0.98,0.995,0
1.7984274577693e+19,0.99,0.99,0.995,0
1.7986364755705e+19,1,1,0.995,0
1.798427457779e+19,1.01,1.01,0.995,0
1.7978004529681e+19,1.02,1.02,0.995,0
1.7967556068712e+19,1.03,1.03,0.995,0
1.7952931623248e+19,1.04,1.04,0.995,0
1.7934134592227e+19,1.05,1.05,0.995,0
1.7911169344343e+19,1.06,1.06,0.995,0
1.7884041217082e+19,1.07,1.07,0.995,0
1.7852756515302e+19,1.08,1.08,0.995,0
1.7817322509983e+19,1.09,1.09,0.995,0
1.777774743629e+19,1.1,1.1,0.995,0
1.7734040491784e+19,1.11,1.11,0.995,0
1.7686211834169e+19,1.12,1.12,0.995,0
1.7634272579032e+19,1.13,1.13,0.995,0
1.7578234797063e+19,1.14,1.14,0.995,0
1.7518111511242e+19,1.15,1.15,0.995,0
1.7453916693833e+19,1.16,1.16,0.995,0
1.7385665262964e+19,1.17,1.17,0.995,0
1.7313373079141e+19,1.18,1.18,0.995,0
1.7237056941478e+19,1.19,1.19,0.995,0
1.7156734583613e+19,1.2,1.2,0.995,0
1.7072424669493e+19,1.21,1.21,0.995,0
1.6984146788966e+19,1.22,1.22,0.995,0
1.6891921452908e+19,1.23,1.23,0.995,0
1.6795770088423e+19,1.24,1.24,0.995,0
1.6695715033466e+19,1.25,1.25,0.995,0
1.6591779531506e+19,1.26,1.26,0.995,0
1.6483987725717e+19,1.27,1.27,0.995,0
1.637236465314e+19,1.28,1.28,0.995,0
1.6256936238324e+19,1.29,1.29,0.995,0
1.613772928696e+19,1.3,1.3,0.995,0
1.6014771479008e+19,1.31,1.31,0.995,0
1.5888091361758e+19,1.32,1.32,0.995,0
1.5757718342453e+19,1.33,1.33,0.995,0
