time,Core_P_in,Core_P_out,Core_T_in,Core_T_out,Core_vel_in,HX_Tin_p,HX_Tout_p,hx_j1:pressure,hx_j1:rho,hx_j1:temperature,hx_j1:velocity,hx_j2:pressure,hx_j2:rho,hx_j2:temperature,hx_j2:velocity,j1:pressure,j1:rho,j1:temperature,j1:velocity,j2:pressure,j2:rho,j2:temperature,j2:velocity,j3:pressure,j3:rho,j3:temperature,j3:velocity,j4:pressure,j4:rho,j4:temperature,j4:velocity,j5:pressure,j5:rho,j5:temperature,j5:velocity,j_c_up:pressure,j_c_up:rho,j_c_up:temperature,j_c_up:velocity,j_dn_pl:pressure,j_dn_pl:rho,j_dn_pl:temperature,j_dn_pl:velocity,j_ip_c:pressure,j_ip_c:rho,j_ip_c:temperature,j_ip_c:velocity,j_up_ps1:pressure,j_up_ps1:rho,j_up_ps1:temperature,j_up_ps1:velocity,pump:pressure,pump:pump_head,pump:rho,pump:temperature,pump:velocity
0,0,0,0,0,0,0,0,100000,2010.7066504,824.8167,0.001,100000,2010.7066504,824.8167,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,110000,43909.58,2196.4297,908.15,0.001
0.2,173023.89929962,135463.51753417,908.66453981778,908.89775127039,0.020727876397566,908.00618299549,907.64148334704,167776.12189295,2010.6564405537,824.91958902924,1.6003188808665,166443.8390665,2010.6800398433,824.87122982923,1.600318880878,113006.794521,2196.4296999606,908.1500000701,0.60828653426928,126343.32952256,2196.4297000859,908.14999984724,0.6202890310188,124126.44351646,2196.7141127167,907.64392755041,0.60694952986062,143062.92780307,2196.4297051693,908.14999080187,0.57448080417696,136485.72871884,2196.4297000064,908.14999998861,0.57448080431599,135458.98364112,2196.0114837794,908.89415697622,0.068043889942939,173162.09206528,2196.4296998862,908.15000020255,0.063018803364748,173020.41856666,2196.429699976,908.15000004278,0.063018803368775,126013.59429106,2196.42969329,908.15001193947,0.068043827042759,133755.00508232,43909.58,2196.4297000092,908.14999998369,0.6082865342394
0.4,171839.09159733,134279.70792137,908.69711345859,909.64564566238,0.041621221681951,908.09407533002,906.80450206814,123864.89681293,2010.5270066738,825.18482238984,1.6008317608792,125797.99924843,2010.5945284574,825.04645807916,1.6008317608792,111167.54575352,2196.4296999822,908.15000003163,1.1761555965752,124637.35331999,2196.4296999981,908.15000000336,1.1993630866427,122431.71926469,2197.1836022033,906.80853700483,1.1774517526328,141080.65784971,2196.4342179193,908.14196099765,1.1535380130456,134249.06378323,2196.4297505902,908.14990998184,1.1535380244506,134262.76056345,2195.5911772181,909.6420334197,0.13156673586629,171975.32543626,2196.4296999961,908.15000000689,0.12653962572657,171824.32763464,2196.4297000141,908.149999975,0.12653962572655,124818.96979596,2196.4296767119,908.15004143787,0.13156649617775,131944.08868257,43909.58,2196.4296999999,908.15000000009,1.1761555965755
0.6,171746.94935783,134215.22854839,908.42015608769,910.39368328139,0.061397426689414,908.15821510718,905.71571529371,123880.58786434,2010.3062331114,825.63722723067,1.6014394439766,125812.91995268,2010.4285502539,825.38657734854,1.6014394439767,109518.27572083,2196.4296995133,908.15000086593,1.7137848882148,122594.04819073,2196.4296999953,908.15000000842,1.7476006910583,120412.54437478,2197.7948158431,905.72096825075,1.7191323474635,139154.66830811,2196.505521988,908.01508543068,1.7017586400626,132394.59723776,2196.4336447737,908.14298082971,1.7017589222465,134179.25339213,2195.1707805119,910.3900702636,0.19170702408972,171856.53071231,2196.4296999985,908.15000000259,0.18667779853681,171713.51425487,2196.4297000142,908.1499999747,0.18667779853684,124740.29516752,2196.4296634129,908.15006510153,0.19170650006499,130079.5015468,43909.58,2196.429699949,908.15000009082,1.7137848882129
0.8,171827.36059641,134326.78239517,908.14725074809,911.14186420733,0.079840866659112,908.1607603411,904.43697965987,123887.89580391,2009.9928877527,826.27932837558,1.6020800343029,125819.88715876,2010.1731316501,825.90997612687,1.6020800343029,107612.76689151,2196.4296967628,908.1500057602,2.2152595715361,120181.59119469,2196.4296999296,908.15000012518,2.25897029708,118055.76015365,2198.5129488488,904.44315151468,2.2255562628764,136898.63881606,2196.8068268475,907.47895578736,2.2131101963316,130221.94880212,2196.478738517,908.0627428524,2.2131120035772,134266.68482067,2194.7503032208,911.13825049676,0.24780310915543,171903.08298983,2196.4297000012,908.14999999781,0.24277170645318,171769.60969003,2196.4297000132,908.14999997651,0.24277170645316,124833.57100749,2196.4296745533,908.15004527881,0.24780219624077,127897.80295086,43909.58,2196.4296993536,908.15000115027,2.2152595715204
1,172001.60326908,134534.8605118,908.0301026742,911.8901885223,0.096815281498698,908.15231115909,903.02067447501,123886.21834556,2009.5930291351,827.09871078878,1.6027147898754,125818.32275384,2009.8289412395,826.61528434534,1.6027147898753,105509.07445232,2196.4296918661,908.15001447306,2.6767642819324,117496.6249617,2196.4296994433,908.15000099061,2.7295812566524,115445.66565509,2199.3085382482,903.02751201381,2.6925673146721,134398.39967273,2197.4381434405,906.35561665384,2.6837000890064,127813.97745506,2196.6777099398,907.70870117479,2.6837057221903,134447.13103415,2194.329745345,911.88657411919,0.29942817572305,172039.0828801,2196.4297000028,908.14999999498,0.29439454514738,171916.160981,2196.4297000111,908.14999998033,0.29439454514737,125020.56689728,2196.4297124541,908.1499778396,0.29942679239288,125477.47087855,43909.58,2196.42969715,908.15000507116,2.6767642818886
1.2,172218.25508646,134786.99008032,908.03817493165,912.63865631229,0.11225118611557,908.14800743629,901.51096982899,123875.73383661,2009.1177030099,828.07273973375,1.6033202374036,125808.38604821,2009.4033510305,827.48739542923,1.6033202374035,103283.35180754,2196.4296919209,908.15001437559,3.0963753480435,114649.96506587,2196.4296980584,908.15000345484,3.1574719412645,112683.19432382,2200.1567381506,901.51825951853,3.1179702047696,131753.73085155,2198.3238005016,904.77971440989,3.1115658704911,125266.62196556,2197.1600740863,906.85040198172,3.1115770733976,134669.62199418,2193.9091068365,912.63504121624,0.34636702046264,172215.38518804,2196.4297000024,908.14999999571,0.34133112164011,172103.52372007,2196.4297000078,908.14999998617,0.34133112164009,125250.03518662,2196.4297450132,908.14991990538,0.34636510382744,122913.19240349,43909.58,2196.4296944514,908.15000987303,3.0963753480081
1.4,172458.27552006,135062.64569646,908.08821363192,913.3872676653,0.12614496759107,908.14663706101,899.94436856696,123857.15805464,2008.5812332877,829.17206293505,1.6038834515884,125790.74327889,2008.9082459404,828.50195504025,1.6038834515882,101019.35756156,2196.4297020408,908.14999636873,3.4740274016061,111748.3099936,2196.4296966861,908.15000589656,3.5425756929198,109866.66669927,2201.0370131372,899.95193391961,3.5014808194399,129056.75353353,2199.3269509454,902.99474920741,3.4966421358856,122665.42842291,2197.949003247,905.4466134395,3.4966587020434,134914.92994709,2193.4883876458,913.38365187577,0.3886123238104,172414.55688972,2196.4297000009,908.14999999843,0.3835741385432,172313.77370549,2196.4297000039,908.14999999306,0.3835741385432,125502.47319691,2196.4297385689,908.14993137208,0.38860981839108,120301.70881314,43909.58,2196.4296959574,908.15000719328,3.4740274016638
1.6,172708.33940003,135347.30762458,908.12922758158,914.1360226672,0.13854169674847,908.14632465611,898.35077679095,123831.51956388,2007.9997721635,830.3635816322,1.6043985242908,125766.3555224,2008.3583287645,829.62883449895,1.6043985242905,98788.790540777,2196.4297124023,908.14997793193,3.8109840593239,108883.99282001,2196.4296977675,908.15000397245,3.8861810614766,107081.90060435,2201.9325380581,898.3584732062,3.8441995060049,126389.29008479,2200.3579397635,901.16024953117,3.8402192784095,120088.64141469,2198.9496934993,903.66602580189,3.8402394958597,135169.58117599,2193.0675877246,914.1324061839,0.42630542659089,172624.41077462,2196.4296999997,908.15000000045,0.42126495675791,172534.37257553,2196.4297,908.14999999994,0.42126495675791,125764.21280461,2196.4296902391,908.15001736809,0.42630228612759,117726.11242829,43909.58,2196.4297027939,908.14999502864,3.8109840594611
1.8,172982.49942385,135655.0691328,908.14974235454,914.8849213994,0.14947846008109,908.14632949197,896.75371155705,123800.02271908,2007.3900137844,831.61308650747,1.604864324104,125736.35018724,2007.7696975876,830.83504592698,1.6048643241037,96708.24059558,2196.4296914439,908.15001522429,4.1082689625904,106219.95732963,2196.4296995895,908.15000073044,4.1893318860065,104407.99951741,2202.8300789823,896.76142529844,4.1469976431964,123845.37944793,2201.3790881109,899.34325958922,4.1433422072492,117643.04986626,2200.0400689971,901.72585587704,4.1433641953872,135448.57249678,2192.6467070273,914.88130422189,0.45956082222387,172859.71793841,2196.4297000012,908.14999999793,0.45451808347471,172780.15695416,2196.4296999973,908.15000000489,0.4545180834747,126050.29974396,2196.4295004415,908.1503550863,0.45955701317133,115325.17393385,43909.58,2196.4297008383,908.14999850833,4.1082689624883
