time,Core_P_in,Core_P_out,Core_T_in,Core_T_out,Core_vel_in,HX_Tin_p,HX_Tout_p,hx_j1:pressure,hx_j1:rho,hx_j1:temperature,hx_j1:velocity,hx_j2:pressure,hx_j2:rho,hx_j2:temperature,hx_j2:velocity,j1:pressure,j1:rho,j1:temperature,j1:velocity,j2:pressure,j2:rho,j2:temperature,j2:velocity,j3:pressure,j3:rho,j3:temperature,j3:velocity,j4:pressure,j4:rho,j4:temperature,j4:velocity,j5:pressure,j5:rho,j5:temperature,j5:velocity,j_c_up:pressure,j_c_up:rho,j_c_up:temperature,j_c_up:velocity,j_dn_pl:pressure,j_dn_pl:rho,j_dn_pl:temperature,j_dn_pl:velocity,j_ip_c:pressure,j_ip_c:rho,j_ip_c:temperature,j_ip_c:velocity,j_up_ps1:pressure,j_up_ps1:rho,j_up_ps1:temperature,j_up_ps1:velocity,pump:pressure,pump:pump_head,pump:rho,pump:temperature,pump:velocity
0,100000,100000,908.15,908.15,0.001,908.15,908.15,100000,2010.7066504,824.8167,0.001,100000,2010.7066504,824.8167,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,110000,43909.58,2196.4297,908.15,0.001
0.1,174057.35490574,136509.68741642,908.48167313596,908.52383983946,0.010016196311413,908.02747037895,907.96593606866,211700.33872459,2010.6981091436,824.83420257465,1.6001079535664,207102.00309365,2010.704252645,824.82161343233,1.6001079535126,113950.14877874,2196.4297001753,908.14999968806,0.31715750523401,126965.32670092,2196.4297000379,908.14999993248,0.32341554597692,124751.4124432,2196.5326466865,907.96682084252,0.31384025112846,144018.47203586,2196.4296996467,908.15000062857,0.27761559713695,137730.09523843,2196.4297000899,908.1499998401,0.27761559713798,136508.45475438,2196.2206118826,908.52204291348,0.03547772175221,174185.15028914,2196.4297000118,908.14999997894,0.030453589744854,174056.59575268,2196.4296999728,908.1500000484,0.030453589744316,127063.75111461,2196.4296991281,908.15000155142,0.035477705349926,134567.18411746,43909.58,2196.4296999562,908.15000007789,0.3171575052151
0.3,170901.91960217,133302.15447247,908.82090499252,909.27160537889,0.031577552647816,907.98514051554,907.40392827014,65278.615783268,2010.6451888047,824.94264589198,1.6004862641341,71567.457569602,2010.6802266639,824.87084700029,1.6004862641359,111256.62426041,2196.4297000571,908.14999989845,0.90314475584419,125374.03866481,2196.429699959,908.15000007299,0.92096529171549,123213.24214438,2196.8474717074,907.40663397252,0.90284527988342,141318.81870326,2196.4297030066,908.14999465022,0.87514859713075,134044.76770507,2196.4297000243,908.1499999568,0.87514859722199,133292.1607261,2195.8013827114,909.26800229294,0.10102723978818,171067.12440868,2196.4297000039,908.14999999306,0.096001149156086,170893.19588644,2196.42970002,908.14999996441,0.096001149151791,123844.1810393,2196.4296904482,908.15001699603,0.10102710169714,132329.62682014,43909.58,2196.4296999542,908.15000008147,0.90314475586071
0.5,171752.25460309,134206.26384711,908.66991608362,910.01950452289,0.052317720493055,908.12826354045,906.55759010902,123877.97735473,2010.5203709441,825.19842019656,1.6010247593163,125810.41904225,2010.6036042484,825.02786014668,1.6010247593161,110311.48375254,2196.4296999148,908.1500001516,1.4668924823217,123587.63103713,2196.4296999991,908.1500000016,1.495836690733,121391.5868,2197.3223407414,906.56167127868,1.4699666893991,140087.61432868,2196.4322026918,908.14554681178,1.4500030805099,133292.51098667,2196.4297116974,908.14997918612,1.4500030884502,134179.90491467,2195.3810685749,910.01589221541,0.16408912110966,171874.68444017,2196.4297000444,908.14999992105,0.15906094485833,171727.70930644,2196.4296999964,908.15000000633,0.15906094485839,124738.50001882,2196.4296692237,908.15005476204,0.16408875214604,130982.06356809,43909.58,2196.4297000272,908.14999995168,1.4668924823214
0.7,171762.88681709,134247.6988562,908.28035566639,910.76754370947,0.071927170054273,908.18574831029,905.46335948776,123894.01863848,2010.307424702,825.6347854467,1.6016550749983,125825.67418387,2010.4498854473,825.34285768988,1.6016550749983,108463.12362115,2196.4296997575,908.15000043145,2.0000697279617,121266.24829737,2196.4297000111,908.14999998027,2.0395344029399,119115.78535747,2197.936624975,905.4686388345,2.0076869553446,137909.9725305,2196.4795494198,908.06129996484,1.9936840373504,131196.02832977,2196.4308472391,908.14795864927,1.9936842547938,134198.70527532,2194.9606709558,910.76393068371,0.22373146042762,171853.90446768,2196.429700051,908.14999990931,0.21870112183253,171716.09765034,2196.4297000004,908.14999999926,0.21870112183255,124762.83886201,2196.4296467417,908.15009476567,0.2237307436214,128875.70616736,43909.58,2196.42970001,908.14999998226,2.0000697279605
0.9,171912.92467407,134432.0733301,907.96885226374,911.51572515196,0.090179642666423,908.16437544522,904.17234966342,123902.0006768,2009.9995125176,826.2657530378,1.6023191994623,125833.28863471,2010.2046033164,825.8454850073,1.6023191994622,106360.37622189,2196.4296975697,908.15000432439,2.4964151252187,118587.02139601,2196.4296999821,908.15000003181,2.5456735136255,116509.59780178,2198.6616376778,904.1785806445,2.5093685310296,135410.79064214,2196.7385192962,907.60049947294,2.499805502617,128789.25700696,2196.4502469232,908.11343963841,2.4998071856582,134355.76004158,2194.5401933714,911.51211143881,0.27925383910099,171966.44592477,2196.4297000349,908.14999993796,0.27422128542695,171839.18786763,2196.4297000036,908.14999999358,0.27422128542696,124926.33765739,2196.4296513851,908.15008650335,0.27925267031378,126459.14068212,43909.58,2196.4296997199,908.15000049835,2.4964151252054
1.1,172126.15442384,134681.8988859,907.895007735,912.26404965173,0.10692282409986,908.14665233978,902.73542248217,123900.61107756,2009.5980347232,827.08845343607,1.6029746020125,125832.01278422,2009.863580179,826.54430291179,1.6029746020123,104073.20545664,2196.4296894423,908.15001878595,2.9516310736476,115663.96503774,2196.4296997965,908.1500003621,3.0098716235587,113674.8371524,2199.468794,902.74235943064,2.9704115772223,132695.45012979,2197.4033923886,906.41745126589,2.9639822817893,126176.3294171,2196.5759257042,907.88981191426,2.9639884627849,134575.23724219,2194.1196353908,912.26043524772,0.33017548297372,172138.3190321,2196.4297000017,908.14999999705,0.32514065672058,172022.48667922,2196.4297000032,908.14999999435,0.32514065672058,125152.88736753,2196.4297059108,908.14998948249,0.33017379628424,123825.28556984,43909.58,2196.4296978229,908.1500038738,2.9516310735811
1.3,172373.17402567,134966.17180581,907.99251032576,913.01251752607,0.12207910279403,908.14420376743,901.19824272504,123889.68342702,2009.1107452636,828.08699741075,1.6035943343387,125821.68207288,2009.4307026327,827.43134706404,1.6035943343385,101696.06649656,2196.4296785961,908.15003808515,3.3635788115243,112619.7018143,2196.4296985803,908.15000252616,3.4299477697168,110723.44848801,2200.3324162929,901.20566495931,3.3884156942873,129869.01184938,2198.4252711577,904.59916164109,3.3840317262967,123453.53382988,2196.9959914799,907.14236391472,3.3840454146077,134827.68613338,2193.6989968346,913.00890242959,0.37625713260546,172342.24875474,2196.4296999717,908.15000005031,0.37121998784178,172238.12264859,2196.4296999977,908.15000000413,0.37121998784176,125412.70245758,2196.4297875359,908.14984424223,0.3762548764984,121084.4407065,43909.58,2196.4296918508,908.15001450028,3.3635788113828
1.5,172638.95491924,135268.49355839,908.1152778818,913.76112891189,0.13563869267468,908.14541629729,899.59977349429,123869.80834709,2008.5500791556,829.23590336968,1.6041640777323,125802.84728458,2008.9157083977,828.48666311937,1.604164077732,99319.180775424,2196.4296851374,908.15002644599,3.7320788052851,109567.912437,2196.4296948837,908.15000910368,3.8057188762526,107761.07016689,2201.2305891215,899.60749266645,3.7629846846117,127030.34064403,2199.5581415561,902.58337801407,3.7597724463314,120712.74147334,2197.8526974477,905.61797607163,3.7597935079476,135098.03424734,2193.2782776253,913.75751312223,0.41747871062518,172564.95898475,2196.4296999689,908.15000005533,0.4124392388296,172472.32808485,2196.4296999883,908.1500000208,0.41243923882957,125690.43647895,2196.4298174607,908.14979099524,0.41747582813532,118340.10292008,43909.58,2196.4296847999,908.15002704653,3.7320788052303
1.7,172923.18855892,135588.30317118,908.18012914945,914.50988387959,0.14762307006995,908.14610630103,897.97228990033,123842.03026895,2007.9319380501,830.50258596295,1.6046784083496,125776.48556163,2008.332544794,829.68167050407,1.6046784083492,97056.208590657,2196.4297226212,908.14995974877,4.0577970524686,106667.34282883,2196.4296901867,908.15001746144,4.1378640822245,104882.8688587,2202.1451557193,897.98014996557,4.0946080627691,124285.45195624,2200.6443543619,900.65061501443,4.0918870792254,118069.43682305,2199.0504671789,903.48671320474,4.0919120424565,135386.82999377,2192.8574777232,914.50626739644,0.45391470521253,172807.28309167,2196.4296999971,908.15000000515,0.44887292231189,172725.86195237,2196.4296999794,908.1500000366,0.4488729223119,125986.60802911,2196.4297354105,908.14993699207,0.45391115075434,115728.05013266,43909.58,2196.4296909687,908.15001606991,4.0577970528044
